Latitude;Longitude;datetime
-68,8338826;-32,8863316;2014-04-15 00:18:33
-79,01501465;-2,91710072;2014-04-15 00:18:34
-101,1744178;20,3881864;2014-04-15 00:18:34
-72,69622438;41,76883953;2014-04-15 00:18:34
-120,9339766;37,68722878;2014-04-15 00:18:34
-79,7081539;8,9272812;2014-04-15 00:18:35
-99,83523001;25,18906595;2014-04-15 00:18:35
-98,23135546;19,0799907;2014-04-15 00:18:35
-95,56572392;29,95192522;2014-04-15 00:18:36
-66,3061057;18,1848998;2014-04-15 00:18:36
-82,9432825;42,3226232;2014-04-15 00:18:38
-86,05786832;37,91736851;2014-04-15 00:18:39
12,3948843;42,9160174;2014-04-15 00:18:41
-46,7246921;-23,4274536;2014-04-15 00:18:43
-44,30872242;-22,99751767;2014-04-15 00:18:43
-69,2361883;10,0321542;2014-04-15 00:18:46
-65,2007695;-26,8221309;2014-04-15 00:18:46
-43,78200335;-22,86836809;2014-04-15 00:18:46
-59,6041243;13,1146207;2014-04-15 00:18:46
-54,7432736;-2,4325465;2014-04-15 00:18:46
-99,85228187;25,20599716;2014-04-15 00:18:48
-57,88165165;-34,87186717;2014-04-15 00:18:48
-64,2281145;-31,3621732;2014-04-15 00:18:48
-94,5410011;17,9900901;2014-04-15 00:18:50
-99,156346;19,4443558;2014-04-15 00:18:50
-73,8276292;7,0433088;2014-04-15 00:18:50
-97,08878788;32,66975955;2014-04-15 00:18:50
-81,4409545;26,3336678;2014-04-15 00:18:51
-43,7845402;-22,8613965;2014-04-15 00:18:52
-122,6090649;45,51783163;2014-04-15 00:18:52
-74,2133456;4,5798229;2014-04-15 00:18:52
-95,60075489;30,00902749;2014-04-15 00:18:52
-91,87289521;14,70443881;2014-04-15 00:18:53
-79,89297157;-2,13739036;2014-04-15 00:18:53
-71,42507797;41,78827359;2014-04-15 00:18:53
-57,6513256;-25,2769816;2014-04-15 00:18:54
-75,6799471;4,8377401;2014-04-15 00:18:54
-74,033608;4,7262592;2014-04-15 00:18:55
-111,7870874;33,22285557;2014-04-15 00:18:57
-47,84563805;-21,19017472;2014-04-15 00:18:59
-80,27404116;25,71865476;2014-04-15 00:19:00
-59,6158554;13,1242768;2014-04-15 00:19:01
-85,1716433;11,9857637;2014-04-15 00:19:01
-98,24120328;18,99073111;2014-04-15 00:19:01
-56,1985087;-34,7207613;2014-04-15 00:19:02
-122,2725746;37,77880382;2014-04-15 00:19:03
-58,4885637;-34,6562805;2014-04-15 00:19:04
-74,13882999;4,64425113;2014-04-15 00:19:04
